,ingredient name,kor ingredient name,data available level,score with min,score,score class,cancer,developmental & reproductive toxicity,allergies & immunotoxicity
198,DIISOSTEARYL MALATE,다이아이소스테아릴말레이트,Limited,1,1,Green,LOW,LOW,LOW
199,CUCUMIS SATIVUS (CUCUMBER) FRUIT EXTRACT,오이열매추출물,Fair,1,1,Green,LOW,LOW,LOW
200,CI 45410 (D&C Red No. 27 or 28),,Fair,5,5,Yellow,LOW,LOW,LOW
201,MELALEUCA ALTERNIFOLIA (TEA TREE) LEAF OIL,티트리잎오일,Limited,6,6,Yellow,LOW,LOW_MODERATE,HIGH
202,STYRENE/ ACRYLATES COPOLYMER,스타이렌/아크릴레이트코폴리머,Limited,2,2,Green,LOW,LOW,LOW
203,SODIUM PCA,소듐피씨에이,Limited,1,1,Green,LOW,LOW,LOW
204,HYDROGENATED CASTOR OIL,하이드로제네이티드캐스터오일,Limited,1,1,Green,LOW,LOW,LOW
205,MAGNESIUM ALUMINUM SILICATE,마그네슘알루미늄실리케이트,Limited,1,1,Green,LOW,LOW,LOW
206,CETEARETH-20,세테아레스-20,Limited,1-3,3,Yellow,LOW,LOW,LOW
207,CITRUS LIMON (LEMON) PEEL OIL,레몬껍질오일,Limited,4-6,6,Yellow,LOW,LOW,HIGH
208,MAGNESIUM STEARATE,마그네슘스테아레이트,Limited,1,1,Green,LOW,LOW,LOW
209,ROSMARINUS OFFICINALIS (ROSEMARY) LEAF OIL,로즈마리잎오일,Limited,1,1,Green,LOW,LOW,LOW
210,GLYCERYL CAPRYLATE,글리세릴카프릴레이트,Limited,1,1,Green,LOW,LOW,LOW
211,D&C Violet No. 2 (CI 60725),,Fair,2-5,5,Yellow,LOW,LOW,LOW
212,TRIBEHENIN,트라이베헤닌,Limited,1,1,Green,LOW,LOW,LOW
213,BISABOLOL,비사보롤,Limited,1-2,2,Green,LOW,LOW,LOW
214,PENTYLENE GLYCOL,펜틸렌글라이콜,Limited,1,1,Green,LOW,LOW,LOW
215,PEG-40 HYDROGENATED CASTOR OIL,피이지-40하이드로제네이티드캐스터오일,Limited,1-3,3,Yellow,LOW,LOW,LOW
216,DIAZOLIDINYL UREA (FORMALDEHYDE RELEASER),,Limited,5,5,Yellow,LOW,LOW,HIGH
217,PALMITIC ACID,팔미틱애씨드,Fair,1,1,Green,LOW,LOW,LOW
218,HOMOSALATE,호모살레이트,Fair,2-4,4,Yellow,LOW,LOW,LOW
219,DIMETHICONE CROSSPOLYMER,다이메티콘크로스폴리머,None,1,1,Green,LOW,LOW,LOW
220,COCO-GLUCOSIDE,코코-글루코사이드,Limited,1,1,Green,LOW,LOW,LOW
221,DIPROPYLENE GLYCOL,다이프로필렌글라이콜,Limited,1-2,2,Green,LOW,LOW,LOW
222,COCAMIDE MEA,코카마이드엠이에이,None,1-4,4,Yellow,LOW,LOW,LOW
223,MENTHOL,멘톨,Fair,1,1,Green,LOW,LOW,LOW
224,DEHYDROACETIC ACID,데하이드로아세틱애씨드,Fair,1,1,Green,LOW,LOW,LOW
225,SALICYLIC ACID,살리실릭애씨드,Good,1-3,3,Yellow,LOW,LOW,LOW
226,ALGAE/ SEAWEED/ KELP EXTRACT (species unspecified),,Limited,1,1,Green,LOW,LOW,LOW
227,DIMETHICONE/ VINYL DIMETHICONE CROSSPOLYMER,다이메티콘/비닐다이메티콘크로스폴리머,None,1,1,Green,LOW,LOW,LOW
228,MACADAMIA TERNIFOLIA (MACADAMIA) SEED OIL,,Limited,1,1,Green,LOW,LOW,LOW
229,ISONONYL ISONONANOATE,아이소노닐아이소노나노에이트,Limited,1,1,Green,LOW,LOW,LOW
230,PENTAERYTHRITYL TETRAISOSTEARATE,펜타에리스리틸테트라아이소스테아레이트,None,1,1,Green,LOW,LOW,LOW
231,CITRUS AURANTIUM DULCIS (ORANGE) OIL,오렌지오일,Limited,5,5,Yellow,LOW,LOW,HIGH
232,ISOPROPYL PALMITATE,아이소프로필팔미테이트,Fair,1,1,Green,LOW,LOW,LOW
233,CI 45380 (D&C Red No. 21 or 22) Lake,,None,2-5,5,Yellow,LOW,LOW,LOW
234,POLYMETHYL METHACRYLATE,폴리메틸메타크릴레이트,Fair,1,1,Green,LOW,LOW,LOW
235,ISOHEXADECANE,아이소헥사데칸,Limited,1,1,Green,LOW,LOW,LOW
236,EUGENOL,유제놀,Fair,3-5,5,Yellow,LOW,LOW,HIGH
237,POLYHYDROXYSTEARIC ACID,폴리하이드록시스테아릭애씨드,None,1,1,Green,LOW,LOW,LOW
238,FD&C Red No. 40 (CI 16035) Aluminum Lake,,Limited,3-6,6,Yellow,LOW,LOW,LOW_MODERATE
239,PEG/ PPG-18/ 18 DIMETHICONE,피이지/피피지-18/18다이메티콘,None,3,3,Yellow,LOW,LOW,LOW
240,POLYMETHYLSILSESQUIOXANE,폴리메틸실세스퀴옥세인,Limited,1,1,Green,LOW,LOW,LOW
241,TRIPHENYL PHOSPHATE,트라이페닐포스페이트,Fair,5,5,Yellow,LOW,MODERATE,LOW
242,D&C Red No. 33 (CI 17200) Lake,,Limited,1-4,4,Yellow,LOW,LOW,LOW
243,BEHENYL ALCOHOL,베헤닐알코올,Limited,1,1,Green,LOW,LOW,LOW
244,SIMMONDSIA CHINENSIS (JOJOBA) ESTERS,,Limited,1,1,Green,LOW,LOW,LOW
245,SESAMUM INDICUM (SESAME) SEED OIL,참깨오일,Fair,1,1,Green,LOW,LOW,LOW
246,HYALURONIC ACID,하이알루로닉애씨드,Fair,1,1,Green,LOW,LOW,LOW
247,CYCLOMETHICONE,사이클로메티콘,Fair,6,6,Yellow,LOW,LOW_MODERATE,LOW
248,HYDROLYZED WHEAT PROTEIN,하이드롤라이즈드밀단백질,Limited,1-2,2,Green,LOW,LOW,LOW_MODERATE
249,Iodopropynyl Butylcarbamate,아이오도프로피닐부틸카바메이트,Fair,1,1,Green,LOW,LOW,LOW
250,GLUCONOLACTONE,글루코노락톤,Limited,1,1,Green,LOW,LOW,LOW
251,PEG-10 DIMETHICONE,피이지-10다이메티콘,Limited,3,3,Yellow,LOW,LOW,LOW
252,Citrus Aurantium Dulcis (Orange) Peel Oil,오렌지껍질오일,None,5,5,Yellow,LOW_MODERATE,LOW,HIGH
253,POLYGLYCERYL-4 ISOSTEARATE,폴리글리세릴-4아이소스테아레이트,Limited,1,1,Green,LOW,LOW,LOW
254,LAURETH-7,라우레스-7,Limited,1-3,3,Yellow,LOW,LOW,LOW
255,SULISOBENZONE,,Fair,3,3,Yellow,LOW,LOW,MODERATE
256,CELLULOSE GUM,셀룰로오스검,Fair,1,1,Green,LOW,LOW,LOW
257,TRIMETHYL PENTANYL DIISOBUTYRATE,트라이메틸펜타닐다이아이소부티레이트,Limited,2,2,Green,LOW,LOW,LOW
